N ,L1,,Sicherung,mm^2,L2,,Sicherung,mm^2,L3,,Sicherung,mm^2
7,Res-bmbn,#VALUE!,16 AB ,"2,5",,,,,,,,
7,Zutrittskontrolle Res,#VALUE!,16 AB ,"2,5",,,,,,,,
7,Küche Südwest ,#VALUE!,16 AB ,"2,5",,,,,,,,
7,WC-D Vorr. WC-D WC-H Vorr. WC-H,#VALUE!,16 AB ,"2,5",,,,,,,,
7,Reserve,#VALUE!,16 AB ,"2,5",,,,,,,,
,"
",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
8,Buero,0,10AB ,"1,5",Buero 013,#VALUE!,10AB ,"1,5",Buero 013,#VALUE!,10AB ,"1,5"
8,Buero 013,#VALUE!,10AB ,"1,5",Buero 013,#VALUE!,10AB ,"1,5",Buero 013,#VALUE!,10AB ,"1,5"
8,Buero 014,#VALUE!,10AB ,"1,5",Buero 014,#VALUE!,10AB ,"1,5",Buero 014,#VALUE!,10AB ,"1,5"
8,Buero 014 Taster,#VALUE!,10AB ,"1,5",Buero 014 Taster,#VALUE!,10AB ,"1,5",Buero 014 Taster,#VALUE!,10AB ,"1,5"
8,Buero 004,#VALUE!,10AB ,"1,5",Treppenhaus 005 Taster,#VALUE!,10AB ,"1,5",EDV 012,#VALUE!,10AB ,"1,5"
8,"WV-H 011,008",#VALUE!,10AB ,"1,5","WC-D 007,009",#VALUE!,10AB ,"1,5","Notleuchten 014,013",#VALUE!,10AB ,"1,5"
8,Notöeuchten Flur005,#VALUE!,16AB,"2,5",AE EDV 012 Buero 013,#VALUE!,16AB,"2,5",Besprech. 1,0,16AB,"2,5"
8,"WC-Damen 007,009,015",#VALUE!,16AB,"2,5",Treppenhaus 006,#VALUE!,16AB,"2,5",Treppenhaus Verbindungsgang,0,16AB,"2,5"
8,Buero 013 AE,0,16AB,"2,5",Tel. Konter,#VALUE!,16AB,"2,5",Buero 014 AE,#VALUE!,16AB,"2,5"
8,Buero 003 AE,#VALUE!,16AB,"2,5",Buero 014 AE,-26023,16AB,"2,5",Buero 014 AE,#VALUE!,16AB,"2,5"
8,Buero 013 AE,#VALUE!,16AB,"2,5",Buero 013 AE,#VALUE!,16AB,"2,5",Buero 013 AE,#VALUE!,16AB,"2,5"
8,Buero 003 AE,#VALUE!,16AB,"2,5","Buro 013,013 AE",#VALUE!,16AB,"2,5",Buero 014 AE,#VALUE!,16AB,"2,5"
8,Besprechung 2,#VALUE!,16AB,"2,5",Buero 013 AE,-35,16AB,"2,5",Druckerraum 1,#VALUE!,16AB,"2,5"
8,EDV 012,#VALUE!,16AB,"2,5",EDV 012,0,16AB,"2,5",Datenschrank Kabel 7,0,16AB,"2,5"
8,Datenschrank Kabel 8,0,16AB,"2,5","Putzsteckdose 013,014",0,16AB,"2,5",Putsteckdose Flur 005,#VALUE!,16AB,"2,5"
8,Tel. Konter 1,#VALUE!,16AB,"2,5",Putzsteckdose 001,#VALUE!,16AB,"2,5",Putzsteckdose 004,#VALUE!,16AB,"2,5"
8,Moskaw,#VALUE!,16AB,"2,5",Putzsteckdose 012,#VALUE!,16AB,"2,5",Antrieb Tur mitte,#VALUE!,16AB,"2,5"
8,Res. Steckdose,#VALUE!,16AB,"2,5",Steigeschacht,#VALUE!,16AB,"2,5",Reserve,#VALUE!,16AB,"2,5"
8,Teekueche,#VALUE!,16AB,"2,5",Teekueche,#VALUE!,16AB,"2,5",Teekueche,#VALUE!,16AB,"2,5"
8,WC-H WC-D Vor.. D Pumi 010 - Vorr-H,#VALUE!,16AB,"2,5",Urinale WC-H,#VALUE!,16AB,"2,5",Teekueche oben links,#VALUE!,16AB,"2,5"
8,Reserve,#VALUE!,16AB,"2,5",Teekueche oben rechts,#VALUE!,16AB,"2,5",Geschirspueller,#VALUE!,16AB,"2,5"
8,Reserve,#VALUE!,16AB,"2,5",Herdanschluss 014 Res,#VALUE!,16AB,"2,5",Herdanschluss 014 Res,#VALUE!,16AB,"2,5"
